产品包分类,产品包code,产品包名称,产品包单价（元）,产品包结算价,2025年度6月 新增订购（单）,"2025年度6月 流水（元）
（单价×新增订购）","2025年度6月 收入（元）
（结算价×新增订购）",2025.6.10销量（单）,2025.6.11销量（单）,2025.6.12销量（单）,2024年度6月 新增订购（单）,"2024年度6月 流水（元）
（单价×新增订购）","2024年度6月 收入（元）
（结算价×新增订购）",2024.6.1销量（单）,2024.6.2销量（单）,2024.6.3销量（单）,2024.6.4销量（单）,2024.6.5销量（单）,2024.6.6销量（单）,2024.6.7销量（单）,2024.6.8销量（单）,2024.6.9销量（单）,2024.6.10销量（单）,2024.6.11销量（单）,2024.6.12销量（单）,2024.6.13销量（单）,2024.6.14销量（单）,2024.6.15销量（单）,2024.6.16销量（单）,2024.6.17销量（单）,2024.6.18销量（单）,2024.6.19销量（单）,2024.6.20销量（单）,2024.6.21销量（单）,2024.6.22销量（单）,2024.6.23销量（单）,2024.6.24销量（单）,2024.6.25销量（单）,2024.6.26销量（单）,2024.6.27销量（单）,2024.6.28销量（单）,2024.6.29销量（单）,2024.6.30销量（单）,订购环比增长量（单）,订购环比增长率,订购同比增长量（单）,订购同比增长率
少儿,senb,少儿VIP年包,239.0,95.6,10,2390.0,956.0,0,8,2,123,29397,11758.8,4,9,5,2,4,2,0,8,14,4,3,1,5,4,3,7,2,6,4,1,1,9,7,4,2,1,2,2,2,5,-77,-88.51%,2,25.00%
音乐,yyyfhy,音乐VIP月包,29.0,11.6,370,10730.0,4292.0,0,107,263,6843,198447,79378.8,435,205,377,22,108,27,454,165,160,129,79,21,140,483,706,89,106,32,22,61,439,579,573,403,145,39,125,112,555,52,-5547,-93.75%,141,61.57%
音乐,yy31t,音乐VIP31天,39.0,15.6,0,0.0,0.0,0,0,0,35,1365,546.0,3,1,1,0,1,0,1,3,1,1,0,0,0,2,4,2,1,0,0,2,1,0,4,1,0,0,1,3,2,0,-6,-100.00%,-1,-100.00%
音乐,yyjb,音乐VIP季包,79.0,31.6,1,79.0,31.6,0,1,0,16,1264,505.6,2,0,0,1,0,2,1,0,2,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,-6,-85.71%,1,6.25%
音乐,yybnb,音乐VIP半年包,139.0,55.6,0,0.0,0.0,0,0,0,7,973,389.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,-12,-100.00%,0,0.00%
音乐,yynb,音乐年包,239.0,95.6,0,0.0,0.0,0,0,0,3,717,286.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-100.00%,-1,-100.00%
生活,shyfhy,生活VIP月包,29.0,11.6,290,8410.0,3364.0,0,121,169,7721,223909,89563.59999999999,68,594,337,345,58,158,284,398,498,716,167,224,254,193,61,433,55,163,193,153,310,321,392,165,317,175,84,211,191,203,-3919,-93.11%,-817,-73.80%
生活,sh31t,生活VIP31天,39.0,15.6,0,0.0,0.0,0,0,0,15,585,234.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,1,0,1,2,1,1,-2,-100.00%,0,0.00%
生活,shjb,生活VIP季包,79.0,31.6,0,0.0,0.0,0,0,0,25,1975,790.0,1,2,0,1,0,1,2,1,1,1,0,2,1,0,1,1,1,0,2,0,1,1,0,0,3,1,0,0,1,0,-4,-100.00%,-3,-100.00%
生活,shbnb,生活VIP半年包,139.0,55.6,1,139.0,55.6,0,0,1,14,1946,778.4,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0.00%,-2,-66.67%
生活,shnb,生活VIP年包,239.0,95.6,0,0.0,0.0,0,0,0,5,1195,478.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,-100.00%,-1,-100.00%
教育,jyxby,教育VIP月包,29.0,2.9,299,8671.0,867.1,0,124,175,6585,190965,19096.5,288,17,13,269,7,26,259,264,19,31,189,11,12,309,245,22,12,165,15,18,676,529,446,477,128,336,158,498,409,737,-6984,-95.89%,68,29.44%
教育,jy31t,教育VIP31天,39.0,3.9,0,0.0,0.0,0,0,0,5,195,19.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0.00%,0,0.00%
教育,jyjb,教育VIP季包,79.0,7.9,0,0.0,0.0,0,0,0,8,632,63.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,2,1,-6,-100.00%,0,0.00%
教育,jybnb,教育VIP半年包,139.0,13.9,0,0.0,0.0,0,0,0,3,417,41.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-100.00%,0,0.00%
教育,jynb,教育VIP年包,239.0,23.9,0,0.0,0.0,0,0,0,2,478,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00%,0,0.00%
